SurveyResponseID,rotation_state,age_group,gender,reading_platform,book_frequency,genre,sessionId,answer_to_1,answer_to_2,answer_to_3,answer_to_4,answer_to_5,answer_to_6,answer_to_7,answer_to_8,answer_to_9,answer_to_10,answer_to_11,answer_to_12,answer_to_13,answer_to_14,answer_to_15,answer_to_16,answer_to_17,answer_to_18,answer_to_19,answer_to_20,answer_to_21,answer_to_22,answer_to_23,answer_to_24
91,ALSUU,18-24,['Man'],"['Physical books', 'Audiobooks']",0-4,"['Romance', 'True crime']",ghrhis7c,About the same,Much more A than B,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more B than A,Bit more B than A,Bit more A than B,About the same,About the same,Bit more A than B,About the same,Much more B than A,Bit more B than A,Bit more A than B,About the same,Bit more B than A,Bit more A than B,Bit more A than B
97,ALSUU,18-24,['Man'],"['Physical books', 'E-books']",0-4,"['Romance', 'Science fiction', 'Fantasy']",gc0wjcpg,Much more A than B,Much more A than B,Much more A than B,About the same,Much more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Much more A than B,Much more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Bit more A than B,Much more A than B
102,ALSUU,25-34,['Woman'],"['Physical books', 'E-books']",More than 20,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'True crime']",1rngno6b,Bit more A than B,Much more A than B,Bit more A than B,Bit more B than A,Much more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,About the same,Bit more A than B,Much more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,About the same,Bit more B than A,Bit more A than B
105,ALSUU,35-44,['Woman'],['Physical books'],0-4,['Classics/literature'],p8ydfoqz,Much more A than B,About the same,Much more A than B,About the same,Much more A than B,About the same,About the same,Much more A than B,Much more A than B,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,Much more A than B,Much more A than B,About the same,About the same,About the same
110,ALSUU,35-44,['Man'],['E-books'],5-9,"['Mystery, thriller and crime', 'History', 'Health', 'Self-help', 'Other non-fiction']",ttmmgnnu,About the same,About the same,About the same,Bit more A than B,Bit more B than A,About the same,About the same,About the same,Bit more A than B,Much more B than A,Bit more A than B,About the same,Bit more A than B,About the same,Bit more A than B,Much more A than B,Bit more B than A,Much more A than B,About the same,Bit more A than B,About the same,Bit more A than B,Bit more B than A,About the same
116,ALSUU,25-34,['Man'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Science fiction']",jci3557c,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,About the same,About the same,Bit more B than A,Bit more B than A,Much more A than B,Much more A than B,Much more A than B,Much more A than B,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Bit more A than B,About the same,About the same,About the same,About the same,About the same
122,ALSUU,35-44,['Man'],['E-books'],5-9,"['Mystery, thriller and crime', 'Science fiction', 'True crime', 'Other fiction']",eoytwbxr,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Bit more A than B,Much more A than B,Bit more B than A,Bit more B than A,Bit more B than A,Much more A than B,Much more A than B,Much more A than B,About the same,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Much more A than B,About the same,Bit more B than A,Bit more A than B
21,UUALS,18-24,['Woman'],['Physical books'],5-9,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy']",vdr36k8g,Much more A than B,Bit more A than B,Bit more A than B,Much more B than A,Bit more B than A,Bit more A than B,Bit more B than A,About the same,Bit more B than A,Bit more A than B,Much more A than B,Bit more B than A,Bit more B than A,About the same,Bit more A than B,Much more A than B,About the same,Bit more A than B,Bit more B than A,Bit more B than A,Bit more A than B,About the same,Much more B than A,Much more A than B
34,UUALS,25-34,['Woman'],['Online articles'],0-4,"['Mystery, thriller and crime', 'Romance']",xevjpdjb,Much more A than B,Much more A than B,Bit more A than B,Bit more B than A,About the same,Bit more B than A,Bit more A than B,Bit more B than A,Bit more B than A,Much more A than B,Bit more A than B,About the same,Bit more A than B,About the same,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more B than A,Bit more B than A,Bit more A than B
27,UUALS,25-34,['Woman'],"['Physical books', 'E-books', 'Audiobooks']",0-4,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy', 'Classics/literature', 'Poetry', 'Other fiction', 'Other non-fiction']",4fyhepmc,Bit more B than A,Bit more A than B,Bit more A than B,Much more B than A,Bit more A than B,Much more B than A,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Much more A than B,About the same,Much more A than B,Bit more A than B,Bit more A than B,Much more B than A
35,UUALS,55-64,['Man'],"['Physical books', 'E-books']",0-4,"['History', 'Biographies', 'Political', 'Other non-fiction']",5nn7c8w9,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,Bit more A than B,Bit more B than A,Bit more B than A,Bit more B than A,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Bit more A than B,Bit more B than A,Bit more B than A,Bit more A than B
41,UUALS,45-54,['Man'],"['Physical books', 'E-books', 'Audiobooks']",More than 20,"['Mystery, thriller and crime', 'Biographies', 'Science fiction', 'Fantasy', 'Classics/literature', 'Health', 'Other fiction', 'Other non-fiction']",925yttfk,Bit more B than A,Much more B than A,Much more B than A,Much more A than B,Bit more B than A,Bit more B than A,Bit more A than B,Bit more B than A,About the same,Bit more B than A,About the same,Bit more B than A,About the same,About the same,Bit more B than A,Much more B than A,Bit more B than A,About the same,About the same,Bit more A than B,Bit more B than A,About the same,About the same,About the same
64,UUALS,25-34,['Woman'],"['Physical books', 'E-books']",5-9,"['Mystery, thriller and crime', 'Cookbooks', 'Science fiction', 'Fantasy', 'True crime', 'Business']",3ccq88gr,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Bit more A than B,Bit more A than B,Bit more B than A,Bit more B than A,About the same,Much more A than B,Much more A than B,Much more A than B,About the same,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,Much more A than B,Much more B than A,About the same
70,UUALS,25-34,['Woman'],"['Physical books', 'Online articles']",0-4,"['Cookbooks', 'Science fiction', 'Fantasy', 'Self-help', 'Business']",8z53nbbj,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,About the same,Much more B than A,Bit more A than B
71,UUALS,25-34,['Man'],"['Physical books', 'E-books', 'Online articles']",0-4,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Classics/literature', 'Other fiction']",3jrr96hd,Bit more A than B,Much more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more B than A,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B
76,UUALS,25-34,['Man'],"['Physical books', 'E-books']",5-9,"['Mystery, thriller and crime', 'Fantasy', 'Self-help', 'True crime', 'Poetry']",c1thtsff,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Much more A than B,About the same,About the same,Bit more A than B,Much more B than A,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,About the same,Bit more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,About the same,Bit more A than B,About the same,Bit more A than B,Bit more B than A
82,UUALS,18-24,['Woman'],"['Physical books', 'E-books']",More than 20,"['Mystery, thriller and crime', 'Romance', 'Fantasy', 'Self-help', 'True crime']",iyxw8d17,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Much more A than B,Much more A than B,Much more A than B,About the same,About the same,Much more A than B,Bit more A than B,Bit more A than B,Much more A than B,Bit more A than B,Much more B than A,Much more A than B,Bit more A than B,Much more B than A,About the same
88,UUALS,55-64,['Man'],"['Physical books', 'E-books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'History', 'Biographies', 'Other fiction']",mm52obxl,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more B than A,Bit more B than A,Bit more B than A,Bit more A than B,About the same,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more B than A,Bit more A than B,Bit more B than A,Bit more B than A,Bit more B than A
94,UUALS,25-34,['Man'],"['Physical books', 'E-books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'Romance', 'Science fiction', 'Fantasy', 'True crime', 'Westerns', 'Other fiction']",nqfwmqvi,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,About the same,About the same,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,Bit more A than B,Much more B than A,About the same
100,UUALS,25-34,['Man'],"['Physical books', 'E-books']",5-9,"['Science fiction', 'Fantasy', 'Other non-fiction']",f8cmpujj,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Much more A than B,Bit more B than A,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Much more A than B,Bit more A than B,Much more A than B,Much more A than B
107,UUALS,25-34,['Man'],['Audiobooks'],0-4,"['Mystery, thriller and crime', 'History', 'Biographies', 'Fantasy', 'Other fiction']",zbs72bep,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,Much more A than B,Much more A than B,Much more A than B,About the same,Much more B than A,Bit more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more A than B,Much more A than B
113,UUALS,45-54,['Man'],"['Physical books', 'E-books', 'Online articles']",5-9,"['History', 'Cookbooks', 'Fantasy', 'Religion/spirituality', 'Political']",qeem7x68,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Bit more A than B,Bit more B than A,Bit more B than A,Bit more A than B
119,UUALS,18-24,['Man'],"['Physical books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'History', 'Biographies', 'Science fiction', 'Fantasy', 'Classics/literature', 'Business']",cmvfczfx,Bit more A than B,Much more A than B,About the same,Bit more B than A,Bit more A than B,Bit more B than A,Much more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,About the same,About the same,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more B than A,Much more A than B,About the same,Bit more B than A,Bit more A than B
120,UUALS,35-44,['Man'],"['Physical books', 'Audiobooks']",0-4,"['Mystery, thriller and crime', 'Cookbooks', 'Classics/literature', 'Poetry']",6lko0m6z,Much more B than A,Much more B than A,Bit more B than A,Bit more A than B,About the same,Much more B than A,Bit more A than B,Much more A than B,Bit more A than B,About the same,Bit more B than A,Much more B than A,Much more A than B,About the same,About the same,Bit more B than A,Bit more B than A,Bit more B than A,About the same,About the same,About the same,Bit more B than A,Bit more A than B,Bit more B than A
125,UUALS,45-54,['Woman'],"['Physical books', 'E-books']",0-4,"['Mystery, thriller and crime', 'History', 'Biographies', 'Cookbooks', 'Other non-fiction']",4qsq463z,Bit more B than A,Bit more B than A,Much more B than A,Bit more B than A,About the same,Bit more B than A,Bit more A than B,About the same,Bit more A than B,Bit more B than A,Bit more B than A,Bit more B than A,Bit more A than B,About the same,Bit more B than A,Bit more B than A,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more B than A,Bit more B than A,Bit more A than B,About the same
