Genre,Similarity to Sci-Fi
mystery,0.15166774814673306
history,0.2520241431341677
biography,0.23494825514553708
romance,0.14969960462328857
cookbooks,0.18179898120366883
science fiction,1.0000000000000004
fantasy,0.1928926707873982
classics,0.07167664004109395
health,0.19852248664661312
religion,0.2568450394804948
self help,0.15684507982770196
true crime,0.2233455211048732
politics,0.08122917571633075
business,0.17626514525173223
poetry,0.26127065795171217
westerns,0.20978268659868177
fiction,0.22189585307828402
nonfiction,0.22835042304312747
